"","id","Groupe","Family","FR_Species","Nom commun","Tendance","Cat_liste rouge France","Crit_liste rouge France","Cat_liste rouge monde","rq","data_Obsmer","Amaelle","Species"
"19",19,"Requins","Dalatiidae","Centroscymnus coelolepis","Pailona commun","?","DD",NA,"NT",NA,1,NA,"Centroscymnus coelolepis"
"20",20,"Requins","Dalatiidae","Dalatias licha","Squale-liche","?","DD",NA,"NT",NA,1,NA,"Dalatias licha"
"21",21,"Requins","Dalatiidae","Scymnodon ringens","Squale-grogneur commun","?","DD",NA,"DD",NA,1,NA,"Scymnodon ringens"
"22",22,"Requins","Dalatiidae","Squaliolus laticaudus","Squale nain","?","DD",NA,"LC",NA,1,NA,"Squaliolus laticaudus"
"23",23,"Requins","Echinorhinidae","Echinorhinus brucus","Squale bouclé","?","DD",NA,"DD",NA,1,NA,"Echinorhinus brucus"
"24",24,"Requins","Etmopteridae","Etmopterus princeps","Sagre rude","?","DD",NA,"DD",NA,1,NA,"Etmopterus princeps"
"25",25,"Requins","Etmopteridae","Etmopterus spinax","Sagre commun","?","DD",NA,"LC",NA,1,NA,"Etmopterus spinax"
"26",26,"Requins","Hexanchidae","Heptranchias perlo","Perlon","?","DD",NA,"NT",NA,1,NA,"Heptranchias perlo"
"27",27,"Requins","Hexanchidae","Hexanchus griseus","Griset","?","DD",NA,"NT",NA,1,NA,"Hexanchus griseus"
"28",28,"Requins","Lamnidae","Carcharodon carcharias","Grand requin blanc","?","DD",NA,"VU",NA,1,NA,"Carcharodon carcharias"
"29",29,"Requins","Mitsukurinidae","Mitsukurina owstoni","Requin-lutin","?","DD",NA,"LC",NA,1,NA,"Mitsukurina owstoni"
"30",30,"Requins","Odontaspididae","Carcharias taurus","Requin-taureau","?","DD",NA,"VU",NA,1,NA,"Carcharias taurus"
"31",31,"Requins","Odontaspididae","Odontapsis ferox","Requin-féroce","?","DD",NA,"VU",NA,1,NA,"Odontaspis ferox"
"32",32,"Requins","Oxynotidae","Oxynotus centrina","Centrine commune","?","DD",NA,"VU",NA,1,NA,"Oxynotus centrina"
